"nombre";"ultimoClub";"nuevoClub";"coste";"mercado";"IDF";"ID"
"Florin Andone";"RC Deportivo";"Brighton";6000000;"VERANO";272;225018
"Youssef En-Nesyri";"Málaga CF";"CD Leganés";6000000;"VERANO";273;235410
"Okay Yokuslu";"Trabzonspor";"Celta de Vigo";6000000;"VERANO";274;205201
"Federico Santander";"FC Copenhague";"FC Bologna";6000000;"VERANO";275;201335
"Fabri";"Besiktas";"FC Fulham";6000000;"VERANO";276;177723
"Majeed Waris";"FC Lorient";"FC Porto";6000000;"VERANO";277;198420
"Walace";"Hamburgo";"Hannover 96";6000000;"VERANO";279;222844
"Bafétimbi Gomis";"Galatasaray";"Hilal";6000000;"VERANO";281;159145
"Uros Spajic";"RSC Anderlecht";"Krasnodar";6000000;"VERANO";282;215892
"Ronaël Pierre-Gabriel";"St-Étienne";"Monaco";6000000;"VERANO";283;231685
"Érick Gutiérrez";"CF Pachuca";"PSV Eindhoven";6000000;"VERANO";285;220854
"Diego Rolan";"G. Bordeaux";"RC Deportivo";6000000;"VERANO";286;213114
"Héctor Moreno";"AS Roma";"Real Sociedad";6000000;"INVIERNO";287;173432
"William Bianda";"Lens";"Roma U19";6000000;"VERANO";288;239502
"Marlon";"FC Barcelona";"Sassuolo";6000000;"VERANO";289;215703
"Roque Mesa";"Swansea City";"Sevilla FC";6000000;"VERANO";290;204277
"Igor Coronado";"US Palermo";"Sharjah FC";6000000;"VERANO";291;202599
"Tomás Rincón";"Juventus";"Torino";6000000;"VERANO";292;191053
"Leonardo Bittencourt";"1.FC Köln";"TSG Hoffenheim";6000000;"VERANO";293;203106
"Daniel Wass";"Celta de Vigo";"Valencia CF";6000000;"VERANO";294;172522
"Milton Caraglio";"Atlas";"CD Cruz Azul";5980000;"VERANO";296;192373
"Elías Hernández";"León";"CD Cruz Azul";5940000;"VERANO";297;186302
"Nico Gaitán";"Atlético Madrid";"DL Yifang";5750000;"INVIERNO";299;184144
"Éder";"Inter de Milán";"JS Suning";5700000;"VERANO";300;178311
"André Horta";"Benfica";"Los Angeles FC";5700000;"VERANO";301;226370
"Paddy McNair";"AFC Sunderland";"Middlesbrough";5700000;"VERANO";302;213697
"Ricardo Centurión";"Genoa CFC";"Racing Club";5700000;"INVIERNO";303;211267
"Martyn Waghorn";"Ipswich";"Derby";5600000;"VERANO";304;183706
"James McClean";"West Brom";"Stoke City";5600000;"VERANO";305;198489
"João Moutinho";"Monaco";"Wolverhampton";5600000;"VERANO";306;162347
"José Fonte";"West Ham Utd.";"DL Yifang";5570000;"INVIERNO";307;171791
"Fabio Borini";"AFC Sunderland";"AC Milan";5500000;"VERANO";308;186200
"Rasmus Kristensen";"Midtjylland";"AFC Ajax";5500000;"INVIERNO";309;233301
"Walter Montoya";"Sevilla FC";"CD Cruz Azul";5500000;"INVIERNO";310;224461
"Javier Mascherano";"FC Barcelona";"HB CFFC";5500000;"INVIERNO";311;142754
"Denzel Dumfries";"Heerenveen";"PSV Eindhoven";5500000;"VERANO";313;233096
"Angeliño";"Man City U23";"PSV Eindhoven";5500000;"VERANO";314;220651
"Fernando";"Palmeiras";"Shakhtar D.";5500000;"VERANO";315;205288
"Mário Rui";"AS Roma";"SSC Napoli";5500000;"INVIERNO";316;204614
"Vincenzo Grifo";"Bor. M'gladbach";"TSG Hoffenheim";5500000;"VERANO";317;212096
"Ishak Belfodil";"Standard Lieja";"TSG Hoffenheim";5500000;"VERANO";318;194728
"Dodô";"Inter de Milán";"UC Sampdoria";5500000;"INVIERNO";319;193571
"Carlos Eduardo";"Goiás EC";"Pyramids FC";5200000;"VERANO";320;192708
"Carlos Izquierdoz";"Santos Laguna";"Boca Juniors";5150000;"VERANO";321;214766
"Jesús Gallardo";"UNAM Pumas";"Monterrey";5150000;"VERANO";322;226045
"Adam Forshaw";"Middlesbrough";"Leeds";5100000;"INVIERNO";323;193910
"Marco Tumminello";"AS Roma";"Atalanta";5000000;"VERANO";325;232064
"Bryan Cristante";"Benfica";"Atalanta";5000000;"VERANO";326;208268
"Federico Mattiello";"Juventus";"Atalanta";5000000;"INVIERNO";328;220466
"Pietro Iemmello";"Sassuolo";"Benevento";5000000;"VERANO";329;209613
"Esteban Andrada";"Lanús";"Boca Juniors";5000000;"VERANO";330;205849
"Marius Wolf";"E. de Francfort";"Bor. Dortmund";5000000;"VERANO";331;224425
"José Manuel Arnáiz";"FC Barcelona B";"CD Leganés";5000000;"VERANO";332;231530
"Mathias Jensen";"Nordsjælland";"Celta de Vigo";5000000;"VERANO";333;229723
"Kaveh Rezaei";"RSC Charleroi";"Club Brugge";5000000;"VERANO";334;239593
"Juan Iturbe";"AS Roma";"Club Tijuana";5000000;"VERANO";335;199151
"Carlos Salcedo";"Chivas";"E. de Francfort";5000000;"VERANO";338;212888
"Moussa Wagué";"KAS Eupen";"FC Barcelona B";5000000;"VERANO";339;237156
"Christian Kouamé";"Cittadella";"Genoa CFC";5000000;"VERANO";340;235866
"Ignasi Miquel";"Málaga CF";"Getafe CF";5000000;"VERANO";341;196935
"Nemanja Maksimovic";"Valencia CF";"Getafe CF";5000000;"VERANO";342;239433
"Johan Mojica";"Rayo Vallecano";"Girona FC";5000000;"VERANO";343;214026
"Marc Muniesa";"Stoke City";"Girona FC";5000000;"VERANO";344;192766
